"response","tgrep_id","workerid","Answer.condition","Answer.time_in_minutes","slide_number_in_experiment","speaker_cond"
"[0.9, 'true']","example1",0,"undefined",6.92491666666667,2,"exp01"
"[0, 'true']","example2",0,"undefined",6.92491666666667,3,"exp01"
"[1, 'false']","example3",0,"undefined",6.92491666666667,4,"exp01"
"[0.53, 'not_sure']","example4",0,"undefined",6.92491666666667,5,"exp01"
"[1, 'false']","example5",0,"undefined",6.92491666666667,6,"exp01"
"[0, 'false']","example5",0,"undefined",6.92491666666667,6,"exp01"
"[1, False]","177474:15",0,"undefined",6.92491666666667,8,"exp01"
"[0.53, False]","164368:12",0,"undefined",6.92491666666667,9,"exp01"
"[0.74, False]","148183:40",0,"undefined",6.92491666666667,10,"exp01"
"[1, False]","159588:39",0,"undefined",6.92491666666667,11,"exp01"
"[1, False]","63221:32",0,"undefined",6.92491666666667,12,"exp01"
"[0.84, False]","164352:16",0,"undefined",6.92491666666667,13,"exp01"
"[0, False]","control2",0,"undefined",6.92491666666667,14,"exp01"
"[0.48, True]","87654:14",0,"undefined",6.92491666666667,15,"exp01"
"[1, False]","control1",0,"undefined",6.92491666666667,16,"exp01"
"[0.87, False]","control3",0,"undefined",6.92491666666667,17,"exp01"
"[1, False]","13469:7",0,"undefined",6.92491666666667,18,"exp01"
"[0.01, True]","164858:59",0,"undefined",6.92491666666667,19,"exp01"
"[0.87, False]","177105:58",0,"undefined",6.92491666666667,20,"exp01"
"[1, False]","159124:81",0,"undefined",6.92491666666667,21,"exp01"
"[1, False]","161373:22",0,"undefined",6.92491666666667,22,"exp01"
"[0.98, False]","55892:50",0,"undefined",6.92491666666667,23,"exp01"
"[1, False]","18087:40",0,"undefined",6.92491666666667,24,"exp01"
"[0.54, False]","129171:26",0,"undefined",6.92491666666667,25,"exp01"
"[1, False]","55920:12",0,"undefined",6.92491666666667,26,"exp01"
"[0.95, False]","66765:5",0,"undefined",6.92491666666667,27,"exp01"
"[1, False]","30391:38",0,"undefined",6.92491666666667,28,"exp01"
"[0, False]","control4",0,"undefined",6.92491666666667,29,"exp01"
"[0.18, False]","135453:35",0,"undefined",6.92491666666667,30,"exp01"
"[0.26, False]","2722:7",0,"undefined",6.92491666666667,31,"exp01"
"[0.72, 'true']","example1",1,"undefined",5.05128333333333,2,"exp01"
"[0.63, 'true']","example2",1,"undefined",5.05128333333333,3,"exp01"
"[0.63, 'true']","example2",1,"undefined",5.05128333333333,3,"exp01"
"[0.45, 'true']","example2",1,"undefined",5.05128333333333,3,"exp01"
"[0, 'true']","examplecheckbox3",1,"undefined",5.05128333333333,4,"exp01"
"[0.67, 'false']","example3",1,"undefined",5.05128333333333,4,"exp01"
"[0.51, 'not_sure']","example4",1,"undefined",5.05128333333333,5,"exp01"
"[0.39, 'true']","example5",1,"undefined",5.05128333333333,6,"exp01"
"[0.25, False]","129171:26",1,"undefined",5.05128333333333,8,"exp01"
"[0.71, False]","13469:7",1,"undefined",5.05128333333333,9,"exp01"
"[0.71, False]","55920:12",1,"undefined",5.05128333333333,10,"exp01"
"[0.61, False]","159588:39",1,"undefined",5.05128333333333,11,"exp01"
"[0.23, False]","164352:16",1,"undefined",5.05128333333333,12,"exp01"
"[0.67, False]","159124:81",1,"undefined",5.05128333333333,13,"exp01"
"[0.5, False]","63221:32",1,"undefined",5.05128333333333,14,"exp01"
"[0.62, False]","135453:35",1,"undefined",5.05128333333333,15,"exp01"
"[0.49, False]","control3",1,"undefined",5.05128333333333,16,"exp01"
"[0.37, False]","control4",1,"undefined",5.05128333333333,17,"exp01"
"[0.65, False]","164858:59",1,"undefined",5.05128333333333,18,"exp01"
"[0.56, False]","control2",1,"undefined",5.05128333333333,19,"exp01"
"[0.59, False]","177474:15",1,"undefined",5.05128333333333,20,"exp01"
"[0.46, False]","148183:40",1,"undefined",5.05128333333333,21,"exp01"
"[0.79, False]","30391:38",1,"undefined",5.05128333333333,22,"exp01"
"[0.38, False]","55892:50",1,"undefined",5.05128333333333,23,"exp01"
"[0.6, False]","66765:5",1,"undefined",5.05128333333333,24,"exp01"
"[0.44, False]","164368:12",1,"undefined",5.05128333333333,25,"exp01"
"[0.65, False]","87654:14",1,"undefined",5.05128333333333,26,"exp01"
"[0.35, False]","177105:58",1,"undefined",5.05128333333333,27,"exp01"
"[0.58, False]","2722:7",1,"undefined",5.05128333333333,28,"exp01"
"[0.55, False]","18087:40",1,"undefined",5.05128333333333,29,"exp01"
"[0.69, False]","control1",1,"undefined",5.05128333333333,30,"exp01"
"[0.55, False]","161373:22",1,"undefined",5.05128333333333,31,"exp01"
"[1, 'true']","example1",2,"undefined",19.96965,2,"exp01"
"[0, 'true']","example2",2,"undefined",19.96965,3,"exp01"
"[0.99, 'false']","example3",2,"undefined",19.96965,4,"exp01"
"[0.97, 'false']","example4",2,"undefined",19.96965,5,"exp01"
"[0.21, 'unclear']","example5",2,"undefined",19.96965,6,"exp01"
"[0, False]","129171:26",2,"undefined",19.96965,8,"exp01"
"[1, False]","63221:32",2,"undefined",19.96965,9,"exp01"
"[1, False]","control3",2,"undefined",19.96965,10,"exp01"
"[0, False]","control2",2,"undefined",19.96965,11,"exp01"
"[0.98, False]","148183:40",2,"undefined",19.96965,12,"exp01"
"[1, False]","161373:22",2,"undefined",19.96965,13,"exp01"
"[0.99, False]","55892:50",2,"undefined",19.96965,14,"exp01"
"[1, False]","177474:15",2,"undefined",19.96965,15,"exp01"
"[0.98, False]","55920:12",2,"undefined",19.96965,16,"exp01"
"[1, False]","87654:14",2,"undefined",19.96965,17,"exp01"
"[0.99, False]","13469:7",2,"undefined",19.96965,18,"exp01"
"[1, False]","30391:38",2,"undefined",19.96965,19,"exp01"
"[0.8, False]","66765:5",2,"undefined",19.96965,20,"exp01"
"[1, False]","control1",2,"undefined",19.96965,21,"exp01"
"[0.17, False]","177105:58",2,"undefined",19.96965,22,"exp01"
"[1, False]","164352:16",2,"undefined",19.96965,23,"exp01"
"[0, False]","control4",2,"undefined",19.96965,24,"exp01"
"[0.19, False]","164858:59",2,"undefined",19.96965,25,"exp01"
"[1, False]","164368:12",2,"undefined",19.96965,26,"exp01"
"[1, False]","159124:81",2,"undefined",19.96965,27,"exp01"
"[1, False]","2722:7",2,"undefined",19.96965,28,"exp01"
"[0.97, False]","159588:39",2,"undefined",19.96965,29,"exp01"
"[0.74, False]","135453:35",2,"undefined",19.96965,30,"exp01"
"[1, False]","18087:40",2,"undefined",19.96965,31,"exp01"
"[0.88, 'true']","example1",3,"undefined",7.4889,2,"exp01"
"[0.35, 'true']","example2",3,"undefined",7.4889,3,"exp01"
"[0.17, 'false']","example3",3,"undefined",7.4889,4,"exp01"
"[0.68, 'false']","example3",3,"undefined",7.4889,4,"exp01"
