"","tgrep_id","Mean","Median","Var"
"64","121941:10",0.39875,0.32,0.089185
"65","122421:31",0.401,0.245,0.115662105263158
"66","123034:17",0.508095238095238,0.47,0.0964361904761905
"67","123916:50",0.619375,0.74,0.118952916666667
"68","124385:34",0.554545454545455,0.485,0.143730735930736
"69","124500:45",0.681764705882353,0.76,0.0957029411764706
"70","124653:71",0.614,0.715,0.11812
"71","125063:17",0.581428571428571,0.7,0.132652857142857
"72","125802:14",0.4055,0.215,0.148531315789474
"73","125857:6",0.5965,0.73,0.161571315789474
"74","126165:57",0.5285,0.61,0.171981842105263
"75","126455:10",0.573529411764706,0.57,0.111949264705882
"76","126460:28",0.543,0.66,0.143695789473684
"77","126604:16",0.33,0.24,0.124777777777778
"78","126761:25",0.49047619047619,0.43,0.131584761904762
"79","126761:30",0.616666666666667,0.73,0.127153333333333
"80","127011:17",0.56952380952381,0.59,0.129874761904762
"81","127169:7",0.565714285714286,0.67,0.120095798319328
"82","127456:31",0.428,0.525,0.0885957894736842
"83","127596:32",0.483157894736842,0.56,0.181000584795322
"84","127919:39",0.663333333333333,0.78,0.113903333333333
"85","128696:11",0.548666666666667,0.61,0.115940952380952
"86","129083:10",0.384375,0.295,0.105652916666667
"87","129171:26",0.345,0.225,0.120083333333333
"88","129179:18",0.605263157894737,0.7,0.108281871345029
"89","129583:26",0.678181818181818,0.81,0.11432987012987
"90","12998:28",0.533157894736842,0.62,0.112067251461988
"91","129990:36",0.518947368421053,0.58,0.167854385964912
"92","130087:11",0.373,0.285,0.0855063157894737
"93","130276:4",0.216086956521739,0.09,0.0904430830039526
"94","13056:42",0.457333333333333,0.36,0.11036380952381
"95","130584:43",0.599090909090909,0.67,0.14891341991342
"96","13059:11",0.675714285714286,0.78,0.125485714285714
"97","130807:72",0.601578947368421,0.67,0.110747368421053
"98","13087:15",0.618260869565217,0.69,0.119215019762846
"99","130958:7",0.581875,0.66,0.10177625
"100","131277:37",0.476363636363636,0.555,0.108976623376623
"101","131278:6",0.540454545454545,0.61,0.140899783549784
"102","131517:11",0.4975,0.465,0.0616386363636364
"103","132402:20",0.529090909090909,0.68,0.140827705627706
"104","132454:18",0.483125,0.45,0.0946895833333333
"105","132933:5",0.648260869565217,0.68,0.116051383399209
"106","132933:57",0.6675,0.8,0.127286666666667
"107","133358:40",0.668421052631579,0.8,0.140014035087719
"108","133518:49",0.5625,0.77,0.142686666666667
"109","134021:50",0.521875,0.57,0.13657625
"110","134033:13",0.552608695652174,0.56,0.11775652173913
"111","13411:17",0.495833333333333,0.405,0.131381884057971
"112","134176:40",0.360666666666667,0.44,0.0957780952380952
"113","134176:70",0.399333333333333,0.49,0.0882638095238095
"114","13420:11",0.575833333333333,0.76,0.146929710144928
"115","13424:16",0.552380952380952,0.48,0.0998790476190476
"116","13424:44",0.541578947368421,0.49,0.143169590643275
"117","134479:41",0.6,0.725,0.1412
"118","13469:7",0.379545454545455,0.22,0.148175974025974
"119","135381:35",0.6165,0.745,0.121129210526316
"120","135453:35",0.513636363636364,0.55,0.119786147186147
"121","135535:24",0.498,0.535,0.132269473684211
"122","135551:31",0.6025,0.745,0.114377631578947
"123","136292:43",0.675882352941176,0.81,0.0970007352941177
"124","136539:14",0.5975,0.69,0.110054347826087
"125","137317:74",0.393809523809524,0.23,0.148264761904762
"126","137794:5",0.665,0.74,0.0919909090909091
"127","138291:103",0.523333333333333,0.53,0.102631884057971
"128","138291:137",0.6685,0.73,0.114129210526316
"129","138298:34",0.644736842105263,0.71,0.128881871345029
"130","138469:69",0.554,0.7,0.112812941176471
"131","138703:48",0.441304347826087,0.47,0.113093675889328
"132","140196:19",0.5485,0.635,0.139571315789474
"133","140815:71",0.624,0.75,0.116189411764706
"134","140818:41",0.503157894736842,0.47,0.124422807017544
"135","140818:55",0.5105,0.61,0.0973523684210526
"136","141004:32",0.644090909090909,0.815,0.159949134199134
"137","141886:24",0.355833333333333,0.245,0.111764492753623
"138","141908:36",0.46125,0.46,0.120559239130435
"139","142141:14",0.514736842105263,0.6,0.18369298245614
"140","142849:33",0.521818181818182,0.53,0.123396536796537
"141","143183:27",0.3615,0.31,0.0939186842105263
"142","143722:15",0.426521739130435,0.27,0.121478260869565
"143","143752:15",0.378947368421053,0.26,0.140887719298246
"144","144511:39",0.481578947368421,0.45,0.151736257309942
"145","145009:13",0.629473684210526,0.68,0.0689052631578947
"146","145692:12",0.562105263157895,0.56,0.13352865497076
"147","145722:97",0.708421052631579,0.87,0.132414035087719
"148","145945:125",0.541363636363636,0.555,0.160221861471861
"149","14653:39",0.619047619047619,0.76,0.148239047619048
"150","146612:75",0.558095238095238,0.63,0.11088619047619
"151","146618:32",0.531,0.64,0.126556842105263
"152","146829:11",0.63875,0.71,0.102465
"153","146950:24",0.778947368421053,0.97,0.0721766081871345
"154","147067:15",0.558095238095238,0.69,0.15711619047619
"155","147340:7",0.455,0.58,0.155911904761905
"156","147613:4",0.465909090909091,0.415,0.134749134199134
"157","148130:31",0.429473684210526,0.18,0.157471929824561
"158","148183:40",0.62,0.7,0.124514285714286
"159","148372:13",0.56,0.69,0.142104761904762
"160","148456:26",0.385652173913043,0.21,0.166871146245059
"161","148463:10",0.618666666666667,0.63,0.0758552380952381
"162","148561:14",0.383125,0.26,0.118609583333333
"163","149162:20",0.802666666666667,0.89,0.0543352380952381
"164","149373:69",0.575714285714286,0.75,0.140615714285714
"165","149427:7",0.4435,0.33,0.130813421052632
"166","149669:184",0.510909090909091,0.625,0.122351515151515
"167","149748:21",0.272727272727273,0.1,0.113535064935065
"168","149904:6",0.629473684210526,0.74,0.101505263157895
"169","15068:10",0.504761904761905,0.48,0.11431619047619
"170","151077:31",0.4895,0.55,0.144689210526316
"171","151108:23",0.527894736842105,0.65,0.184717543859649
"172","151303:29",0.551578947368421,0.66,0.103636257309942
"173","152284:11",0.477368421052632,0.34,0.153464912280702
"174","152359:98",0.570833333333333,0.685,0.112694927536232
"175","15261:29",0.479047619047619,0.46,0.107439047619048
"176","15261:95",0.592,0.725,0.111206315789474
"177","153227:28",0.438,0.38,0.121048421052632
"178","153747:33",0.482272727272727,0.39,0.139656493506494
"179","154094:15",0.661739130434783,0.75,0.124815019762846
"180","154338:10",0.618125,0.73,0.103789583333333
"181","154774:35",0.556666666666667,0.64,0.114366666666667
"182","155085:10",0.54,0.64,0.09129
"183","155121:37",0.526315789473684,0.4,0.154702339181287
"184","155148:17",0.581578947368421,0.67,0.172880701754386
"185","155521:29",0.772105263157895,0.94,0.0833397660818713
"186","155563:20",0.456818181818182,0.36,0.170575108225108
"187","155741:63",0.463478260869565,0.41,0.146141897233202
"188","155746:10",0.31695652173913,0.06,0.157740316205534
"189","155962:19",0.464545454545455,0.49,0.0864450216450216
"190","156060:102",0.561578947368421,0.71,0.135136257309942
"191","156086:35",0.505263157894737,0.44,0.135715204678363
"192","156639:7",0.453181818181818,0.365,0.152794155844156
"193","156650:7",0.460909090909091,0.385,0.154970562770563
"194","156671:38",0.50625,0.445,0.106611666666667
"195","156697:32",0.558823529411765,0.6,0.160361029411765
"196","156938:9",0.210869565217391,0.03,0.105453754940711
"197","157049:37",0.387826086956522,0.27,0.127645059288538
"198","157516:9",0.636363636363636,0.76,0.0914623376623377
"199","157519:107",0.60125,0.72,0.150718333333333
"200","15755:34",0.4785,0.33,0.161497631578947
"201","157961:33",0.693333333333333,0.72,0.0739523809523809
"202","15843:18",0.662631578947368,0.88,0.149109356725146
"203","158476:38",0.556521739130435,0.58,0.102505533596838
"204","158966:17",0.243913043478261,0.06,0.119052173913043
"205","15903:5",0.496363636363636,0.42,0.153071861471861
"206","159110:25",0.4535,0.415,0.132139736842105
"207","159124:81",0.670454545454545,0.72,0.10216645021645
"208","159138:19",0.628421052631579,0.68,0.116858479532164
"209","159146:13",0.4235,0.375,0.125423947368421
"210","159233:9",0.641666666666667,0.72,0.0963242424242424
"211","159358:7",0.472272727272727,0.46,0.126827922077922
"212","159588:39",0.738636363636364,0.82,0.0858885281385281
"213","159592:14",0.435833333333333,0.335,0.0808265151515151
"214","16039:6",0.454857142857143,0.48,0.143737478991597
"215","160477:87",0.754761904761905,0.89,0.0954861904761905
"216","160595:7",0.478181818181818,0.515,0.123082251082251
"217","161106:35",0.515833333333333,0.55,0.0928810606060606
"218","161373:22",0.555,0.625,0.16175
"219","161396:28",0.570454545454545,0.685,0.117356926406926
"220","161653:6",0.544545454545455,0.595,0.118530735930736
"221","161668:20",0.545652173913043,0.59,0.151007509881423
"222","16220:4",0.36,0.18,0.132431578947368
"223","162249:54",0.54,0.61,0.181357894736842
"224","16318:47",0.635,0.705,0.139816666666667
"225","163234:34",0.545454545454545,0.625,0.141587878787879
"226","16349:60",0.498947368421053,0.5,0.153187719298246
"227","163703:15",0.216875,0.09,0.08503625
"228","164050:47",0.739545454545455,0.84,0.113042640692641
"229","164091:22",0.772941176470588,0.8,0.0515095588235294
"230","16415:5",0.5105,0.585,0.122152368421053
"231","164185:22",0.39625,0.325,0.114476630434783
"232","164259:34",0.572105263157895,0.7,0.118661988304094
"233","164345:22",0.462571428571429,0.6,0.132819663865546
"234","164352:16",0.631363636363636,0.685,0.107526623376623
"235","164368:12",0.455909090909091,0.425,0.162920562770563
"236","164404:48",0.475,0.41,0.151078947368421
"237","164770:133",0.463684210526316,0.32,0.15083567251462
"238","164858:59",0.470454545454545,0.485,0.172137878787879
"239","164949:21",0.640909090909091,0.855,0.171132467532468
"240","165280:27",0.507272727272727,0.485,0.129316017316017
"241","165513:41",0.6575,0.82,0.134925
"242","165858:16",0.494166666666667,0.545,0.117877536231884
"243","16608:27",0.7375,0.82,0.0639933333333333
"244","166085:182",0.586190476190476,0.75,0.126594761904762
"245","166169:26",0.4245,0.27,0.137078684210526
"246","16640:26",0.755789473684211,0.88,0.0907035087719298
"247","166762:101",0.679166666666667,0.77,0.0824628787878788
"248","166774:13",0.5835,0.67,0.101223947368421
"249","166799:28",0.4725,0.41,0.106293181818182
"250","166903:55",0.499090909090909,0.51,0.126884848484848
"251","166971:48",0.461052631578947,0.42,0.126843274853801
"252","167359:42",0.518947368421053,0.4,0.161709941520468
"253","168217:7",0.488947368421053,0.5,0.107298830409357
"254","168569:28",0.469375,0.53,0.137419583333333
"255","168977:55",0.5125,0.42,0.134735526315789
"256","168982:36",0.375454545454545,0.205,0.123606926406926
"257","168991:40",0.501818181818182,0.62,0.134482251082251
"258","169028:53",0.55,0.54,0.1088
"259","169366:50",0.589545454545455,0.615,0.116328354978355
"260","169856:19",0.461052631578947,0.4,0.159143274853801
"261","169857:78",0.766666666666667,0.83,0.0644733333333333
"262","169890:62",0.742631578947368,0.96,0.133453801169591
"263","169902:90",0.506818181818182,0.66,0.15760367965368
"264","17008:76",0.4875,0.525,0.107209210526316
"265","170188:22",0.406,0.31,0.123614736842105
"266","171124:6",0.387428571428571,0.28,0.142019663865546
"267","171282:63",0.630526315789474,0.82,0.173605263157895
"268","171296:110",0.552272727272727,0.655,0.12232316017316
"269","172002:14",0.493333333333333,0.43,0.135503333333333
"270","173289:7",0.462727272727273,0.395,0.116792207792208
"271","173724:18",0.542105263157895,0.59,0.0890175438596491
"272","17546:43",0.589583333333333,0.75,0.147082427536232
"273","175669:10",0.383125,0.285,0.109782916666667
"274","175702:23",0.409090909090909,0.33,0.109180086580087
"275","176651:43",0.723181818181818,0.84,0.0955274891774892
"276","177105:58",0.419090909090909,0.245,0.147541991341991
"277","177474:15",0.665454545454545,0.795,0.119806926406926
"278","18087:40",0.624090909090909,0.805,0.13986341991342
"279","19045:21",0.630588235294118,0.67,0.104705882352941
"280","19223:138",0.510625,0.56,0.14416625
"281","19360:7",0.39,0.275,0.1174
"282","19697:27",0.607368421052632,0.64,0.102187134502924
"283","19933:5",0.338636363636364,0.18,0.137212337662338
"284","19999:14",0.523125,0.65,0.115422916666667
"285","20045:19",0.737826086956522,0.78,0.065399604743083
"286","2006:5",0.512,0.55,0.14486
"287","20176:47",0.626,0.68,0.109911428571429
"288","20839:32",0.521428571428571,0.54,0.128918487394958
"289","21020:14",0.604347826086956,0.66,0.112362055335968
"290","21123:14",0.702105263157895,0.81,0.102339766081871
"291","2180:39",0.781052631578947,0.95,0.124265497076023
"292","22018:5",0.434210526315789,0.42,0.140081286549708
"293","22419:43",0.637333333333333,0.75,0.119220952380952
"294","22630:77",0.678947368421053,0.78,0.119921052631579
"295","22696:54",0.559047619047619,0.67,0.107489047619048
"296","2345:39",0.4925,0.52,0.1731
"297","23510:57",0.648857142857143,0.77,0.102004537815126
"298","23630:11",0.389473684210526,0.36,0.142427485380117
"299","23634:28",0.323181818181818,0.1,0.124146536796537
"300","23641:34",0.5775,0.74,0.135240789473684
"301","23994:24",0.584375,0.665,0.12442625
"302","24418:16",0.574736842105263,0.58,0.11479298245614
"303","2454:46",0.678421052631579,0.94,0.170080701754386
"304","24580:124",0.3765,0.275,0.0855713157894737
"305","24771:51",0.546842105263158,0.57,0.113178362573099
"306","24802:122",0.602631578947368,0.69,0.144098245614035
"307","24962:14",0.479473684210526,0.4,0.146383040935673
"308","25273:85",0.615,0.75,0.14262619047619
"309","26291:55",0.567727272727273,0.685,0.152027922077922
"310","26819:29",0.595263157894737,0.67,0.145681871345029
"311","27056:5",0.482105263157895,0.4,0.123317543859649
"312","27147:10",0.464,0.385,0.115141052631579
"313","2722:7",0.407727272727273,0.25,0.136380303030303
"314","2767:14",0.353157894736842,0.11,0.168800584795322
"315","27683:75",0.4855,0.4,0.113352368421053
"316","27773:13",0.644,0.835,0.151256842105263
"317","27780:99",0.652941176470588,0.7,0.0874470588235294
"318","27808:28",0.565714285714286,0.64,0.114835714285714
"319","27864:37",0.598181818181818,0.65,0.123644155844156
"320","28274:4",0.342631578947368,0.23,0.113598245614035
"321","28711:26",0.5405,0.635,0.114299736842105
"322","29416:66",0.5405,0.605,0.137552368421053
"323","29678:24",0.743157894736842,0.88,0.100311695906433
"324","30391:26",0.590454545454545,0.74,0.14856645021645
"325","30391:38",0.599545454545454,0.63,0.131937878787879
"326","30504:13",0.366086956521739,0.28,0.134333992094862
"327","30987:12",0.558636363636364,0.72,0.138507575757576
"328","31080:59",0.574090909090909,0.66,0.106691991341991
"329","31080:8",0.494210526315789,0.56,0.162970175438596
"330","31195:47",0.620454545454545,0.69,0.130623593073593
"331","31254:36",0.2835,0.145,0.0980871052631579
"332","31480:39",0.3595,0.26,0.101236578947368
"333","32931:10",0.399130434782609,0.1,0.182044664031621
"334","3297:34",0.695,0.845,0.109318181818182
"335","33143:60",0.44,0.54,0.130466666666667
"336","35085:21",0.706666666666667,0.755,0.0506969696969697
"337","36420:35",0.702916666666667,0.75,0.0796824275362319
"338","36611:16",0.451428571428571,0.48,0.121602857142857
"339","36612:7",0.494,0.34,0.141997142857143
"340","36613:5",0.363478260869565,0.27,0.106169169960474
"341","36621:7",0.326666666666667,0.21,0.120849275362319
"342","36737:8",0.460434782608696,0.38,0.124058893280632
"343","37263:24",0.661304347826087,0.74,0.104102766798419
"344","37349:44",0.377,0.32,0.0874431578947368
"345","37768:13",0.832380952380952,0.93,0.0473090476190476
"346","37846:61",0.494375,0.47,0.12902625
"347","38055:13",0.68875,0.745,0.0933679347826087
"348","38063:54",0.718333333333333,0.75,0.0570515151515151
"349","38581:37",0.644545454545455,0.795,0.128702164502164
"350","38592:10",0.746363636363636,0.905,0.102386147186147
"351","38641:36",0.670454545454545,0.785,0.134414069264069
"352","38641:72",0.69,0.8,0.10964347826087
"353","38651:29",0.783913043478261,0.89,0.063397628458498
"354","3878:16",0.616666666666667,0.73,0.0867833333333333
"355","38792:27",0.73,0.81,0.0909555555555555
"356","38898:13",0.605789473684211,0.79,0.135125730994152
"357","38991:16",0.628636363636364,0.68,0.131631385281385
"358","39025:60",0.6555,0.925,0.177657631578947
"359","39049:23",0.751,0.905,0.112409473684211
"360","39753:27",0.434736842105263,0.26,0.164837426900585
"361","4008:21",0.65,0.705,0.0556
"362","40951:7",0.705789473684211,0.84,0.105936842105263
"363","41388:61",0.744736842105263,0.75,0.0364263157894737
"364","41573:26",0.500476190476191,0.46,0.115254761904762
"365","41717:66",0.7245,0.825,0.0964576315789474
"366","42132:18",0.366875,0.275,0.117582916666667
"367","42149:6",0.64952380952381,0.75,0.0908447619047619
"368","42623:15",0.550857142857143,0.54,0.0943257142857143
"369","42645:119",0.554210526315789,0.69,0.138536842105263
"370","42653:25",0.636315789473684,0.73,0.0930690058479532
"371","43559:43",0.598947368421053,0.74,0.12483216374269
"372","43673:87",0.740526315789474,0.84,0.084327485380117
"373","43900:8",0.2715,0.155,0.0691397368421053
"374","44033:5",0.338,0.175,0.112006315789474
"375","44119:16",0.816666666666667,0.885,0.0276060606060606
"376","4457:24",0.483157894736842,0.37,0.0992116959064328
"377","44952:36",0.362631578947368,0.36,0.11174269005848
"378","45097:7",0.473636363636364,0.44,0.154662337662338
"379","4528:7",0.45,0.45,0.12527619047619
"380","4529:7",0.519,0.595,0.11042
"381","45790:32",0.705714285714286,0.83,0.0951357142857143
"382","46132:24",0.57125,0.67,0.0953183333333333
"383","46244:16",0.467083333333333,0.505,0.118769384057971
"384","46328:7",0.38,0.25,0.114221052631579
"385","46446:10",0.646666666666667,0.77,0.0932095238095238
"386","46609:15",0.605,0.69,0.120173684210526
"387","47855:7",0.3875,0.215,0.130020454545455
"388","47856:7",0.403181818181818,0.225,0.147870346320346
"389","4795:25",0.339047619047619,0.25,0.0937890476190476
"390","48532:18",0.725,0.735,0.0513333333333333
"391","49908:42",0.632105263157895,0.79,0.127806432748538
"392","50337:29",0.449047619047619,0.36,0.115459047619048
"393","50370:29",0.394210526315789,0.12,0.164359064327485
"394","50706:31",0.650526315789474,0.72,0.0737608187134503
"395","50719:6",0.356086956521739,0.28,0.139133992094862
"396","50720:6",0.507142857142857,0.48,0.119311428571429
"397","51340:81",0.582727272727273,0.7,0.122592207792208
"398","52283:13",0.433913043478261,0.35,0.0921430830039526
"399","53602:9",0.575714285714286,0.76,0.149205714285714
"400","53610:9",0.484375,0.45,0.178799583333333
"401","53913:6",0.355,0.23,0.127542105263158
"402","5480:20",0.633,0.935,0.191895789473684
"403","54840:11",0.486842105263158,0.56,0.138522807017544
"404","55028:10",0.519047619047619,0.43,0.141509047619048
"405","55078:22",0.599,0.645,0.100093684210526
"406","55120:15",0.458571428571429,0.5,0.107824369747899
"407","55159:38",0.750416666666667,0.825,0.0767432971014493
"408","55219:110",0.742380952380952,0.78,0.0705590476190476
"409","55284:85",0.486,0.5,0.117177647058823
"410","55311:27",0.729166666666667,0.765,0.069044696969697
"411","55892:50",0.556363636363636,0.545,0.129138528138528
"412","55920:12",0.518181818181818,0.49,0.126758441558442
"413","56072:31",0.397391304347826,0.32,0.11884743083004
"414","56101:53",0.764210526315789,0.8,0.0415035087719298
"415","56109:69",0.464736842105263,0.55,0.135615204678363
"416","56809:31",0.501764705882353,0.48,0.100865441176471
"417","56842:9",0.4215,0.32,0.16743447368421
"418","57069:61",0.684736842105263,0.72,0.0670263157894737
"419","57643:110",0.566842105263158,0.56,0.111645029239766
"420","57651:63",0.503157894736842,0.59,0.165956140350877
"421","57861:27",0.647727272727273,0.715,0.128275541125541
"422","57998:87",0.619166666666667,0.675,0.0918514492753623
"423","58800:5",0.30625,0.175,0.106571666666667
"424","58962:27",0.546857142857143,0.55,0.147092773109244
"425","59544:10",0.351578947368421,0.18,0.148636257309941
"426","59953:42",0.442727272727273,0.305,0.143449350649351
"427","60662:8",0.342105263157895,0.13,0.160417543859649
"428","61000:7",0.625,0.795,0.1507
"429","62101:38",0.777368421052632,0.88,0.0845649122807018
"430","62502:62",0.575217391304348,0.62,0.102653359683794
"431","62707:16",0.705454545454545,0.76,0.0912069264069264
"432","62767:31",0.743684210526316,0.93,0.148980116959064
"433","63108:7",0.562105263157895,0.66,0.18082865497076
"434","63221:32",0.686363636363636,0.74,0.0877575757575758
"435","63417:44",0.508125,0.495,0.12869625
"436","63606:10",0.4735,0.315,0.152676578947368
"437","63963:80",0.5175,0.55,0.139526666666667
"438","64564:10",0.578421052631579,0.78,0.159580701754386
"439","64610:17",0.4365,0.345,0.0958871052631579
"440","65357:5",0.635333333333333,0.74,0.10358380952381
"441","65668:54",0.450869565217391,0.32,0.173771936758893
"442","6581:42",0.472105263157895,0.39,0.0975175438596491
"443","65910:42",0.6455,0.78,0.122731315789474
"444","65927:55",0.31375,0.175,0.115302717391304
"445","65999:146",0.679545454545455,0.68,0.0903093073593074
"446","6607:30",0.602857142857143,0.66,0.106141428571429
"447","66134:57",0.7135,0.8,0.0816660526315789
"448","66483:25",0.44,0.38,0.157180952380952
"449","66700:13",0.396842105263158,0.33,0.113145029239766
"450","66700:68",0.659545454545455,0.745,0.12436645021645
"451","66763:14",0.5235,0.595,0.109392368421053
"452","66765:5",0.606363636363636,0.68,0.118329004329004
"453","6686:28",0.604285714285714,0.67,0.101375714285714
"454","6686:61",0.598181818181818,0.665,0.128825108225108
"455","67111:45",0.602666666666667,0.69,0.11256380952381
"456","67111:87",0.654166666666667,0.695,0.0708628787878788
"457","67466:21",0.370869565217391,0.34,0.135099209486166
"458","67949:38",0.618666666666667,0.68,0.115240952380952
"459","69750:37",0.364090909090909,0.275,0.111206277056277
"460","70851:34",0.6,0.73,0.159577777777778
"461","7100:11",0.444285714285714,0.38,0.111675714285714
"462","71046:43",0.467826086956522,0.4,0.118381422924901
"463","71201:52",0.688125,0.805,0.08857625
"464","71287:32",0.56,0.65,0.120905882352941
"465","71321:4",0.446,0.43,0.115668571428571
"466","71322:37",0.357272727272727,0.2,0.140344588744589
"467","72079:13",0.468636363636364,0.515,0.113974242424242
"468","72090:7",0.497368421052632,0.48,0.153420467836257
"469","72128:34",0.6065,0.765,0.150339736842105
"470","72160:27",0.665,0.795,0.0945210526315789
"471","72387:13",0.53578947368421,0.69,0.161925730994152
"472","72554:39",0.533428571428571,0.56,0.107423193277311
"473","72763:7",0.395789473684211,0.34,0.104314619883041
"474","7282:17",0.722941176470588,0.8,0.0840095588235294
"475","73140:10",0.505238095238095,0.6,0.0799961904761905
"476","73173:67",0.539545454545455,0.695,0.185575974025974
"477","73491:25",0.668260869565217,0.77,0.124387747035573
"478","7361:10",0.448947368421053,0.45,0.167587719298246
"479","73755:84",0.493157894736842,0.5,0.102578362573099
"480","74155:5",0.390909090909091,0.38,0.111237229437229
"481","74341:4",0.528421052631579,0.59,0.130491812865497
"482","75025:28",0.471052631578947,0.69,0.171598830409357
"483","7526:63",0.593125,0.725,0.114729583333333
"484","75552:115",0.657368421052632,0.75,0.123564912280702
"485","75571:7",0.494571428571429,0.49,0.132325546218487
"486","75949:43",0.512857142857143,0.58,0.135456302521008
"487","76160:21",0.566470588235294,0.53,0.0954867647058824
"488","77264:6",0.7,0.93,0.141190476190476
"489","77398:5",0.424,0.495,0.113730526315789
"490","77593:15",0.560454545454545,0.7,0.182014069264069
"491","77759:32",0.608947368421053,0.77,0.141654385964912
"492","78212:39",0.495,0.44,0.152847368421053
"493","78394:33",0.545416666666667,0.625,0.123869384057971
"494","78585:7",0.5515,0.63,0.132760789473684
"495","78614:111",0.689375,0.8,0.106379583333333
"496","79030:34",0.54,0.59,0.08604
"497","79557:42",0.549142857142857,0.7,0.13655512605042
"498","80278:17",0.546315789473684,0.72,0.179369005847953
"499","80333:17",0.565882352941177,0.6,0.116113235294118
"500","80438:40",0.586,0.705,0.150614736842105
"501","80629:13",0.323181818181818,0.29,0.086784632034632
"502","81221:70",0.571428571428571,0.48,0.0775128571428571
"503","81838:54",0.608571428571429,0.64,0.104422857142857
"504","82296:18",0.382608695652174,0.29,0.136011067193676
"505","83449:21",0.430952380952381,0.29,0.123419047619048
"506","83449:32",0.359090909090909,0.175,0.144961038961039
"507","84152:34",0.833913043478261,0.98,0.0675339920948616
"508","84205:26",0.698421052631579,0.84,0.0852251461988304
"509","84633:31",0.574,0.64,0.132765882352941
"510","85235:65",0.681052631578947,0.81,0.121798830409357
"511","85252:8",0.578636363636364,0.69,0.112079004329004
"512","86088:57",0.580833333333333,0.65,0.104999275362319
"513","86408:11",0.593157894736842,0.82,0.212422807017544
"514","86451:40",0.647647058823529,0.69,0.0960941176470588
"515","86489:22",0.482380952380952,0.48,0.121429047619048
"516","87190:11",0.501666666666667,0.52,0.168178787878788
