"","tgrep_id","Mean","Median","Var"
"1","100571:7",0.391052631578947,0.37,0.0978766081871345
"2","100889:88",0.5485,0.75,0.142887105263158
"3","101449:50",0.475263157894737,0.53,0.136570760233918
"4","10235:39",0.699411764705882,0.74,0.101118382352941
"5","102546:21",0.663125,0.75,0.10919625
"6","102998:7",0.669047619047619,0.8,0.111019047619048
"7","103194:37",0.700833333333333,0.765,0.0949174242424242
"8","103477:18",0.322608695652174,0.24,0.123501976284585
"9","103563:4",0.481578947368421,0.69,0.113647368421053
"10","103644:40",0.326842105263158,0.36,0.0800783625730994
"11","103644:84",0.304210526315789,0.26,0.0756146198830409
"12","104196:61",0.540434782608696,0.53,0.153186166007905
"13","104230:49",0.633181818181818,0.725,0.107517965367965
"14","104255:44",0.303636363636364,0.145,0.1267670995671
"15","105896:51",0.58421052631579,0.64,0.104225730994152
"16","106267:29",0.472272727272727,0.36,0.136808874458874
"17","107709:28",0.468947368421053,0.36,0.146943274853801
"18","107796:20",0.547894736842105,0.65,0.166650877192982
"19","107909:42",0.430454545454545,0.26,0.128080735930736
"20","108349:80",0.638235294117647,0.71,0.103390441176471
"21","10841:72",0.469473684210526,0.4,0.135983040935673
"22","108521:93",0.435909090909091,0.33,0.15093961038961
"23","108737:78",0.566842105263158,0.74,0.159389473684211
"24","108744:71",0.521578947368421,0.51,0.0867029239766082
"25","108757:10",0.35,0.22,0.114813333333333
"26","108790:33",0.672,0.8,0.10248
"27","108790:55",0.615909090909091,0.745,0.133930086580087
"28","108856:37",0.597894736842105,0.67,0.112895321637427
"29","108856:73",0.550909090909091,0.595,0.110656277056277
"30","109255:17",0.658666666666667,0.72,0.0895552380952381
"31","109394:16",0.451428571428571,0.37,0.137782857142857
"32","111407:85",0.752631578947368,0.85,0.079787134502924
"33","112058:22",0.615789473684211,0.64,0.117047953216374
"34","112156:136",0.503684210526316,0.5,0.14673567251462
"35","112290:7",0.288636363636364,0.185,0.0970028138528139
"36","11233:53",0.565652173913043,0.77,0.162371146245059
"37","113855:35",0.4675,0.405,0.141198684210526
"38","113957:66",0.588421052631579,0.56,0.111502923976608
"39","114202:81",0.566818181818182,0.655,0.110660822510822
"40","114588:104",0.665238095238095,0.69,0.0891761904761905
"41","115343:46",0.579545454545455,0.77,0.190880735930736
"42","115483:40",0.626363636363636,0.665,0.124938528138528
"43","115490:21",0.52,0.71,0.200666666666667
"44","115525:57",0.453913043478261,0.47,0.174979446640316
"45","115742:25",0.561052631578947,0.85,0.197187719298246
"46","117330:23",0.623181818181818,0.68,0.136260822510822
"47","117354:63",0.636315789473684,0.74,0.141780116959064
"48","1177:17",0.608333333333333,0.655,0.0788515151515151
"49","117808:33",0.545217391304348,0.57,0.113716996047431
"50","118734:78",0.495,0.4,0.120563157894737
"51","118769:33",0.598235294117647,0.7,0.114152941176471
"52","118955:17",0.579333333333333,0.56,0.107778095238095
"53","119111:78",0.511904761904762,0.63,0.11800619047619
"54","11929:60",0.334090909090909,0.27,0.0948443722943723
"55","11991:7",0.522857142857143,0.57,0.127551428571429
"56","11992:7",0.361052631578947,0.17,0.137365497076023
"57","120178:18",0.5005,0.69,0.162552368421053
"58","120517:9",0.491363636363636,0.46,0.170402813852814
"59","1206:10",0.523636363636364,0.65,0.159052813852814
"60","121023:37",0.564,0.695,0.13972
"61","121141:6",0.445454545454545,0.405,0.129578354978355
"62","1214:19",0.673636363636364,0.815,0.1221670995671
"63","121569:26",0.63,0.65,0.12718947368421
