Item,Mean_nocontext,YMin_nocontext,YMax_nocontext,Mean_context,CILow,CIHigh,YMin_context,YMax_context
14969:33,4.9,3.8,5.9,4.9,1.1000000000000005,1.0999999999999996,3.8,6
149736:22,4.4,2.9,5.8,4.1,1.0999999999999996,1.2000000000000002,3,5.3
149748:21,4.2,3.2,5.1,6,0.40000000000000036,0.40000000000000036,5.6,6.4
149891:51,3.4,1.9,5,3.4,0.8999999999999999,0.8999999999999999,2.5,4.3
149904:6,3.7,2.8,4.7,2.4,0.7999999999999998,1.1,1.6,3.5
15021:56,3.8,2.5,5.002499999999998,2.6,1.2000000000000002,1.4999999999999996,1.4,4.1
15068:10,4.8,4,5.5,5.9,0.8000000000000007,0.5999999999999996,5.1,6.5
150826:22,5.1,4,6.1,5.5,0.7999999999999998,0.7999999999999998,4.7,6.3
151077:31,5.5,4.5,6.3,5.5,1.1025,0.9000000000000004,4.3975,6.4
151108:23,3,2,4,5.2,0.9000000000000004,0.7000000000000002,4.3,5.9
151138:37,3.1,2.1,4.2,4,1.2000000000000002,1.2000000000000002,2.8,5.2
151303:29,4.6,3.6,5.602499999999997,4.1,1.1999999999999997,1.2000000000000002,2.9,5.3
151338:21,5.6,4.1,6.7,5.6,0.7999999999999998,0.7000000000000002,4.8,6.3
151536:59,3.1,2.2,4.002499999999998,2.3,1.0999999999999999,1.4000000000000004,1.2,3.7
15155:80,3.3,1.9,4.7,2.7,1.0000000000000002,1.3024999999999975,1.7,4.002499999999998
152021:55,3.6,2.7,4.6,4.2,1.1,1.2000000000000002,3.1,5.4
152067:34,2.6,1.5,3.9,1.9,0.5999999999999999,0.8000000000000003,1.3,2.7
152067:55,2.6,1.6,3.7,1.7,0.7,0.8,1,2.5
15216:13,3.2,2.3,4.202499999999998,4.4,1.2000000000000002,1.2999999999999998,3.2,5.7
152280:24,4,2.8975,5.2,5.9,1.1000000000000005,0.6999999999999993,4.8,6.6
152284:11,5.4,4.4975000000000005,6.3,6.3,0.20000000000000018,0.2999999999999998,6.1,6.6
152359:98,4,3,5.2,4.6,0.7999999999999998,0.8000000000000007,3.8,5.4
15261:29,4.2,3.2975000000000003,5.1,4.6,1.1999999999999997,1,3.4,5.6
15261:95,1.7,1,2.6,4,0.8999999999999999,0.7000000000000002,3.1,4.7
15291:54,3.9,2.7,5.102499999999997,4.9,1.2000000000000002,1.0999999999999996,3.7,6
153105:51,2.8,1.8,3.8024999999999975,1.7,0.5,0.5999999999999999,1.2,2.3
153227:28,5.7,4.9975000000000005,6.4,5.4,1,0.7999999999999998,4.4,6.2
15332:88,2.9,2,4.1,1.9,0.8999999999999999,1.1,1,3
