"","workerid","tgrep_id","slide_number_in_experiment","rating","strange","speaker_cond"
"1",0,"""example1""",2,0.98," """"","round1"
"2",0,"""example2""",3,0.02," """"","round1"
"3",0,"""example3""",4,0.99," """"","round1"
"4",0,"""example4""",5,0.99," """"","round1"
"5",0,"""example5""",6,0.78," """"","round1"
"6",0,"""1177:17""",8,0.77," false","round1"
"7",0,"""1206:10""",9,0.75," false","round1"
"8",0,"""1214:19""",10,0.83," false","round1"
"9",0,"""2180:39""",11,0.2," true","round1"
"10",0,"""2345:39""",12,0.71," false","round1"
"11",0,"""2454:46""",13,0.89," false","round1"
"12",0,"""2767:14""",14,0.16," false","round1"
"13",0,"""3297:34""",15,0.71," false","round1"
"14",0,"""3878:16""",16,0.85," false","round1"
"15",0,"""4008:21""",17,0.17," false","round1"
"16",0,"""4457:24""",18,0.62," false","round1"
"17",0,"""4795:25""",19,0.69," false","round1"
"18",0,"""5480:20""",20,0.08," false","round1"
"19",0,"""6581:42""",21,0.78," false","round1"
"20",0,"""6607:30""",22,0.28," false","round1"
"21",0,"""6686:28""",23,0.79," false","round1"
"22",0,"""7100:11""",24,0.03," false","round1"
"23",0,"""7282:17""",25,0.71," false","round1"
"24",0,"""7361:10""",26,0.37," false","round1"
"25",0,"""7526:63""",27,0.62," false","round1"
"26",1,"""example1""",2,0.54," """"","round1"
"27",1,"""example2""",3,0.27," """"","round1"
"28",1,"""example3""",4,0.47," """"","round1"
"29",1,"""example3""",4,0.33," """"","round1"
"30",1,"""example3""",4,1," """"","round1"
"31",1,"""example4""",5,0.53," """"","round1"
"32",1,"""example5""",6,0.43," """"","round1"
"33",1,"""1177:17""",8,0.71," false","round1"
"34",1,"""1206:10""",9,0.65," false","round1"
"35",1,"""1214:19""",10,0.36," false","round1"
"36",1,"""2180:39""",11,0.45," false","round1"
"37",1,"""2345:39""",12,0.47," false","round1"
"38",1,"""2454:46""",13,0.6," false","round1"
"39",1,"""2767:14""",14,0.35," false","round1"
"40",1,"""3297:34""",15,0.65," false","round1"
"41",1,"""3878:16""",16,0.46," false","round1"
"42",1,"""4008:21""",17,0.57," false","round1"
"43",1,"""4457:24""",18,0.65," false","round1"
"44",1,"""4795:25""",19,0.48," false","round1"
"45",1,"""5480:20""",20,0.43," false","round1"
"46",1,"""6581:42""",21,0.57," false","round1"
"47",1,"""6607:30""",22,0.47," false","round1"
"48",1,"""6686:28""",23,0.14," false","round1"
"49",1,"""7100:11""",24,0.62," false","round1"
"50",1,"""7282:17""",25,0.4," false","round1"
"51",1,"""7361:10""",26,0.67," false","round1"
"52",1,"""7526:63""",27,0.63," false","round1"
"53",2,"""example1""",2,0.71," """"","round2"
"54",2,"""example2""",3,0.58," """"","round2"
"55",2,"""example2""",3,0.94," """"","round2"
"56",2,"""example2""",3,0.01," """"","round2"
"57",2,"""example3""",4,0.91," """"","round2"
"58",2,"""example4""",5,0.2," """"","round2"
"59",2,"""example4""",5,0.88," """"","round2"
"60",2,"""example5""",6,0.85," """"","round2"
"61",2,"""1177:17""",8,0.87," false","round2"
"62",2,"""1206:10""",9,0.69," false","round2"
"63",2,"""1214:19""",10,0.22," false","round2"
"64",2,"""2180:39""",11,0.34," false","round2"
"65",2,"""2345:39""",12,0.89," false","round2"
"66",2,"""2454:46""",13,0.76," false","round2"
"67",2,"""2767:14""",14,0.31," false","round2"
"68",2,"""3297:34""",15,0.32," false","round2"
"69",2,"""3878:16""",16,0.73," false","round2"
"70",2,"""4008:21""",17,0.73," false","round2"
"71",2,"""4457:24""",18,0.72," false","round2"
"72",2,"""4795:25""",19,0.4," false","round2"
"73",2,"""5480:20""",20,0.74," false","round2"
"74",2,"""6581:42""",21,0.83," false","round2"
"75",2,"""6607:30""",22,0.79," false","round2"
"76",2,"""6686:28""",23,0.33," false","round2"
"77",2,"""7100:11""",24,0.38," false","round2"
"78",2,"""7282:17""",25,0.76," false","round2"
"79",2,"""7361:10""",26,0.77," false","round2"
"80",2,"""7526:63""",27,0.3," false","round2"
"81",3,"""example1""",2,1," """"","round2"
"82",3,"""example2""",3,0," """"","round2"
"83",3,"""example3""",4,1," """"","round2"
"84",3,"""example4""",5,0.51," """"","round2"
"85",3,"""example5""",6,1," """"","round2"
"86",3,"""1177:17""",8,0.55," false","round2"
"87",3,"""1206:10""",9,0.49," false","round2"
"88",3,"""1214:19""",10,0.43," false","round2"
"89",3,"""2180:39""",11,0.57," false","round2"
"90",3,"""2345:39""",12,0.78," false","round2"
"91",3,"""2454:46""",13,0.55," false","round2"
"92",3,"""2767:14""",14,0.64," false","round2"
"93",3,"""3297:34""",15,0.66," false","round2"
"94",3,"""3878:16""",16,0.8," false","round2"
"95",3,"""4008:21""",17,0.5," false","round2"
"96",3,"""4457:24""",18,0.58," false","round2"
"97",3,"""4795:25""",19,0.52," false","round2"
"98",3,"""5480:20""",20,1," false","round2"
"99",3,"""6581:42""",21,0.74," false","round2"
"100",3,"""6607:30""",22,0.67," false","round2"
"101",3,"""6686:28""",23,0.78," false","round2"
"102",3,"""7100:11""",24,0.75," false","round2"
"103",3,"""7282:17""",25,0.62," false","round2"
"104",3,"""7361:10""",26,0.79," false","round2"
"105",3,"""7526:63""",27,0.61," false","round2"
"106",4,"""example1""",2,0.99," """"","round3"
"107",4,"""example2""",3,0.02," """"","round3"
"108",4,"""example3""",4,0.99," """"","round3"
"109",4,"""example4""",5,0.53," """"","round3"
"110",4,"""example5""",6,0.83," """"","round3"
"111",4,"""1177:17""",8,0.77," false","round3"
"112",4,"""1206:10""",9,0.91," false","round3"
"113",4,"""1214:19""",10,0.98," false","round3"
"114",4,"""2180:39""",11,0.99," false","round3"
"115",4,"""2345:39""",12,0.84," false","round3"
"116",4,"""2454:46""",13,0.9," false","round3"
"117",4,"""2767:14""",14,0.82," false","round3"
"118",4,"""3297:34""",15,0.96," false","round3"
"119",4,"""3878:16""",16,0.83," false","round3"
"120",4,"""4008:21""",17,0.4," false","round3"
"121",4,"""4457:24""",18,0.37," false","round3"
"122",4,"""4795:25""",19,0.66," false","round3"
"123",4,"""5480:20""",20,0.37," false","round3"
"124",4,"""6581:42""",21,0.7," false","round3"
"125",4,"""6607:30""",22,0.65," false","round3"
"126",4,"""6686:28""",23,0.68," false","round3"
"127",4,"""7100:11""",24,0.62," false","round3"
"128",4,"""7282:17""",25,0.39," false","round3"
"129",4,"""7361:10""",26,0.72," false","round3"
"130",4,"""7526:63""",27,0.81," false","round3"
"131",5,"""example1""",2,0.97," """"","round3"
"132",5,"""example2""",3,0," """"","round3"
"133",5,"""example3""",4,0.98," """"","round3"
"134",5,"""example4""",5,0," """"","round3"
"135",5,"""example4""",5,1," """"","round3"
"136",5,"""example5""",6,0.86," """"","round3"
"137",5,"""1177:17""",8,0.86," true","round3"
"138",5,"""1206:10""",9,1," false","round3"
"139",5,"""1214:19""",10,1," false","round3"
"140",5,"""2180:39""",11,1," false","round3"
"141",5,"""2345:39""",12,1," false","round3"
"142",5,"""2454:46""",13,0.98," false","round3"
"143",5,"""2767:14""",14,1," false","round3"
"144",5,"""3297:34""",15,1," false","round3"
"145",5,"""3878:16""",16,0.99," false","round3"
"146",5,"""4008:21""",17,0.97," false","round3"
"147",5,"""4457:24""",18,0.65," false","round3"
"148",5,"""4795:25""",19,0.92," false","round3"
"149",5,"""5480:20""",20,0.59," true","round3"
"150",5,"""6581:42""",21,0.35," false","round3"
"151",5,"""6607:30""",22,0.57," false","round3"
"152",5,"""6686:28""",23,0.77," false","round3"
"153",5,"""7100:11""",24,0.92," false","round3"
"154",5,"""7282:17""",25,0.93," false","round3"
"155",5,"""7361:10""",26,0.85," false","round3"
"156",5,"""7526:63""",27,0.84," false","round3"
"157",6,"""example1""",2,1," """"","round4"
"158",6,"""example2""",3,0.02," """"","round4"
"159",6,"""example3""",4,1," """"","round4"
"160",6,"""example4""",5,1," """"","round4"
"161",6,"""example5""",6,0," """"","round4"
"162",6,"""1177:17""",8,0.04," false","round4"
"163",6,"""1206:10""",9,1," false","round4"
"164",6,"""1214:19""",10,1," false","round4"
"165",6,"""2180:39""",11,0.01," true","round4"
"166",6,"""2345:39""",12,0.23," false","round4"
"167",6,"""2454:46""",13,1," false","round4"
"168",6,"""2767:14""",14,0.4," false","round4"
"169",6,"""3297:34""",15,1," false","round4"
"170",6,"""3878:16""",16,1," false","round4"
"171",6,"""4008:21""",17,1," false","round4"
"172",6,"""4457:24""",18,0," false","round4"
"173",6,"""4795:25""",19,1," false","round4"
"174",6,"""5480:20""",20,0.49," false","round4"
"175",6,"""6581:42""",21,0.26," false","round4"
"176",6,"""6607:30""",22,0.52," false","round4"
"177",6,"""6686:28""",23,0.73," false","round4"
"178",6,"""7100:11""",24,1," false","round4"
"179",6,"""7282:17""",25,0.12," false","round4"
"180",6,"""7361:10""",26,1," false","round4"
"181",6,"""7526:63""",27,1," false","round4"
"182",7,"""example1""",2,1," """"","round4"
"183",7,"""example2""",3,0," """"","round4"
"184",7,"""example3""",4,0," """"","round4"
"185",7,"""example3""",4,1," """"","round4"
"186",7,"""example4""",5,0," """"","round4"
"187",7,"""example4""",5,0," """"","round4"
"188",7,"""example4""",5,1," """"","round4"
"189",7,"""example5""",6,0," """"","round4"
"190",7,"""1177:17""",8,0.27," true","round4"
"191",7,"""1206:10""",9,0," false","round4"
"192",7,"""1214:19""",10,1," false","round4"
"193",7,"""2180:39""",11,1," false","round4"
"194",7,"""2345:39""",12,1," false","round4"
"195",7,"""2454:46""",13,1," false","round4"
"196",7,"""2767:14""",14,1," false","round4"
"197",7,"""3297:34""",15,0," false","round4"
"198",7,"""3878:16""",16,1," false","round4"
"199",7,"""4008:21""",17,0," false","round4"
"200",7,"""4457:24""",18,0," false","round4"
"201",7,"""4795:25""",19,0," false","round4"
"202",7,"""5480:20""",20,1," false","round4"
"203",7,"""6581:42""",21,0," false","round4"
"204",7,"""6607:30""",22,1," false","round4"
"205",7,"""6686:28""",23,0," false","round4"
"206",7,"""7100:11""",24,0," false","round4"
"207",7,"""7282:17""",25,1," false","round4"
