workerid,proliferate.condition,time_in_minutes,error
628,experiment_40,18.035083333333333,
560,experiment_40,11.4292,
420,experiment_40,8.758366666666667,
741,experiment_40,19.732266666666668,
517,experiment_40,6.762433333333333,
469,experiment_40,13.0436,
696,experiment_40,8.09135,
759,experiment_40,27.296383333333335,
376,experiment_40,6.9507666666666665,
609,experiment_40,13.236416666666669,
512,experiment_33,15.374083333333331,
417,experiment_33,13.0457,
789,experiment_33,9.580316666666668,
588,experiment_33,26.86345,
740,experiment_33,16.919333333333334,
655,experiment_33,20.5715,
558,experiment_33,33.905,
373,experiment_33,17.074066666666667,
788,experiment_33,32.78638333333333,
693,experiment_33,14.81305,
554,experiment_03,7.606216666666667,
782,experiment_03,11.580683333333331,
735,experiment_03,12.376233333333332,
605,experiment_03,18.206666666666667,
464,experiment_03,13.892516666666667,
507,experiment_03,16.696816666666667,
576,experiment_03,13.5234,
369,experiment_03,14.488316666666666,
690,experiment_03,9.519983333333334,
413,experiment_03,17.23115,
505,experiment_39,11.410416666666666,
755,experiment_39,9.35205,
648,experiment_39,20.485533333333333,
809,experiment_39,29.239566666666665,
411,experiment_39,24.738083333333332,
573,experiment_39,20.899233333333335,
368,experiment_39,20.10355,
551,experiment_39,12.4554,
687,experiment_39,9.544616666666666,
727,experiment_39,11.627666666666666,
773,experiment_05,4.370066666666666,
568,experiment_05,10.9768,
638,experiment_05,10.224466666666666,
548,experiment_05,13.4357,
408,experiment_05,6.876133333333334,
457,experiment_05,8.9282,
722,experiment_05,17.223883333333333,
498,experiment_05,6.6472,
364,experiment_05,9.969116666666666,
685,experiment_05,10.965283333333334,
360,experiment_30,35.92746666666667,
715,experiment_30,9.642366666666666,
603,experiment_30,30.17481666666667,
489,experiment_30,16.520933333333332,
767,experiment_30,15.40155,
620,experiment_30,50.646766666666664,
761,experiment_30,11.709316666666666,
453,experiment_30,10.7423,
676,experiment_30,11.8796,
403,experiment_30,25.32675,
401,experiment_11,12.654566666666666,
481,experiment_11,29.03285,
601,experiment_11,15.3009,
665,experiment_11,10.878566666666666,
393,experiment_11,24.45935,
524,experiment_11,11.220916666666668,
701,experiment_11,12.104,
750,experiment_11,2.93805,
591,experiment_11,29.878466666666668,
514,experiment_11,18.682,
543,experiment_32,13.6659,
643,experiment_32,25.800383333333333,
396,experiment_32,7.295716666666666,
776,experiment_32,10.0144,
733,experiment_32,11.331816666666668,
447,experiment_32,38.21443333333333,
354,experiment_32,15.316816666666666,
680,experiment_32,11.100433333333331,
494,experiment_32,20.17481666666667,
599,experiment_32,22.8689,
815,experiment_28,8.34505,
677,experiment_28,12.86615,
721,experiment_28,8.772933333333333,
344,experiment_28,6.0514,
488,experiment_28,26.9646,
536,experiment_28,8.298883333333333,
775,experiment_28,8.3794,
597,experiment_28,11.315783333333334,
391,experiment_28,22.043566666666667,
626,experiment_28,14.8417,
656,experiment_01,13.73855,
437,experiment_01,5.138966666666667,
754,experiment_01,6.960583333333333,
622,experiment_01,27.0907,
590,experiment_01,11.285466666666666,
625,experiment_01,27.382616666666667,
527,experiment_01,14.266416666666666,
710,experiment_01,19.500183333333332,
439,experiment_01,15.406833333333331,
346,experiment_01,18.56085,
764,experiment_19,28.7978,
674,experiment_19,10.524416666666667,
394,experiment_19,19.108183333333333,
349,experiment_19,12.698933333333333,
579,experiment_19,13.401816666666669,
637,experiment_19,24.297133333333335,
503,experiment_19,15.723183333333331,
541,experiment_19,8.770016666666667,
723,experiment_19,20.164616666666667,
435,experiment_19,10.95285,
713,experiment_20,6.789233333333334,
493,experiment_20,14.981033333333333,
586,experiment_20,11.123416666666667,
762,experiment_20,21.706533333333333,
345,experiment_20,14.414183333333334,
635,experiment_20,18.1544,
668,experiment_20,5.311516666666667,
533,experiment_20,13.120366666666667,
389,experiment_20,14.44485,
433,experiment_20,11.220683333333334,
711,experiment_23,13.630933333333331,
760,experiment_23,19.940633333333334,
438,experiment_23,20.296633333333332,
801,experiment_23,22.74,
430,experiment_23,17.91895,
528,experiment_23,23.027116666666668,
780,experiment_23,11.0637,
618,experiment_23,14.689283333333334,
633,experiment_23,6.12235,
454,experiment_23,16.5282,
581,experiment_12,6.6077,
522,experiment_12,16.132583333333333,
807,experiment_12,21.7517,
477,experiment_12,21.9631,
706,experiment_12,19.273033333333338,
382,experiment_12,21.131183333333333,
428,experiment_12,8.716916666666666,
663,experiment_12,27.49801666666667,
611,experiment_12,29.58865,
432,experiment_12,6.353,
600,experiment_16,13.7634,
426,experiment_16,10.966016666666668,
811,experiment_16,24.852633333333333,
577,experiment_16,3.22185,
818,experiment_16,7.607166666666667,
659,experiment_16,20.08675,
757,experiment_16,19.5844,
564,experiment_16,21.3212,
475,experiment_16,10.25755,
814,experiment_16,13.054916666666667,
520,experiment_16,20.988233333333337,
473,experiment_25,8.228666666666667,
791,experiment_25,44.2681,
658,experiment_25,7.063633333333334,
797,experiment_25,11.193033333333334,
804,experiment_25,21.93085,
716,experiment_25,10.780216666666666,
424,experiment_25,33.42386666666667,
749,experiment_25,51.360366666666664,
518,experiment_25,11.24585,
378,experiment_25,11.296316666666666,
610,experiment_21,8.19815,
515,experiment_21,51.576966666666664,
746,experiment_21,20.905333333333335,
650,experiment_21,12.217316666666669,
559,experiment_21,9.699116666666669,
414,experiment_21,14.706333333333331,
471,experiment_21,19.73105,
732,experiment_21,15.655266666666666,
422,experiment_21,10.545083333333332,
697,experiment_21,19.5457,
654,experiment_07,16.365816666666667,
608,experiment_07,8.1139,
556,experiment_07,21.072783333333337,
783,experiment_07,11.6726,
736,experiment_07,23.493516666666668,
418,experiment_07,23.128183333333332,
466,experiment_07,24.855533333333337,
694,experiment_07,12.0031,
511,experiment_07,18.762133333333335,
372,experiment_07,6.923616666666667,
552,experiment_18,10.427716666666669,
779,experiment_18,28.430516666666666,
730,experiment_18,7.654966666666667,
606,experiment_18,9.29715,
370,experiment_18,45.99823333333333,
649,experiment_18,27.673233333333332,
509,experiment_18,3.951816666666667,
810,experiment_18,7.50255,
508,experiment_18,24.2415,
463,experiment_18,13.818666666666669,
747,experiment_17,17.95035,
504,experiment_17,12.82495,
366,experiment_17,4.51135,
592,experiment_17,9.7938,
550,experiment_17,14.77605,
410,experiment_17,7.111516666666667,
646,experiment_17,8.4459,
729,experiment_17,24.10405,
688,experiment_17,23.62925,
604,experiment_17,29.33015,
365,experiment_38,76.58855,
458,experiment_38,13.300233333333331,
720,experiment_38,11.80525,
645,experiment_38,10.3234,
501,experiment_38,10.662916666666666,
569,experiment_38,30.859033333333333,
772,experiment_38,15.855366666666669,
790,experiment_38,10.8866,
547,experiment_38,9.482966666666666,
409,experiment_38,13.821166666666668,
621,experiment_41,5.9135,
768,experiment_41,18.416683333333335,
570,experiment_41,6.408616666666667,
490,experiment_41,8.021183333333333,
542,experiment_41,18.84101666666667,
404,experiment_41,10.639983333333332,
681,experiment_41,5.468283333333333,
361,experiment_41,6.007516666666667,
455,experiment_41,16.6755,
709,experiment_41,8.771366666666667,
617,experiment_22,13.41905,
482,experiment_22,43.63458333333333,
529,experiment_22,23.316316666666665,
699,experiment_22,22.98595,
402,experiment_22,20.153233333333333,
820,experiment_22,2.6687333333333334,
817,experiment_22,6.8645,
669,experiment_22,15.805633333333333,
359,experiment_22,18.69846666666667,
451,experiment_22,13.410216666666669,
602,experiment_22,32.45858333333333,
777,experiment_36,5.746183333333334,
731,experiment_36,7.327833333333333,
356,experiment_36,14.20685,
644,experiment_36,9.038016666666667,
397,experiment_36,35.04006666666667,
682,experiment_36,18.4714,
545,experiment_36,8.18295,
496,experiment_36,11.958566666666666,
578,experiment_36,28.11178333333333,
819,experiment_36,43.3414,
353,experiment_35,17.153133333333333,
445,experiment_35,10.5214,
490,experiment_35,23.0798,
395,experiment_35,20.195133333333334,
785,experiment_35,23.337016666666667,
678,experiment_35,48.748583333333336,
539,experiment_35,42.24726666666667,
724,experiment_35,28.413,
771,experiment_35,9.8115,
627,experiment_35,9.84165,
593,experiment_37,6.53325,
712,experiment_37,8.705433333333334,
636,experiment_37,31.862966666666665,
388,experiment_37,11.801733333333331,
441,experiment_37,20.104516666666665,
