"","rating","strange","tgrep_id","workerid","Answer.time_in_minutes","slide_number_in_experiment","speaker_cond"
"1","0.9"," true","example1",0,6.92491666666667,2,"exp01"
"2","0"," true","example2",0,6.92491666666667,3,"exp01"
"3","1"," false","example3",0,6.92491666666667,4,"exp01"
"4","0.53"," not_sure","example4",0,6.92491666666667,5,"exp01"
"5","1"," false","example5",0,6.92491666666667,6,"exp01"
"6","0"," false","example5",0,6.92491666666667,6,"exp01"
"7","1"," false","177474:15",0,6.92491666666667,8,"exp01"
"8","0.53"," false","164368:12",0,6.92491666666667,9,"exp01"
"9","0.74"," false","148183:40",0,6.92491666666667,10,"exp01"
"10","1"," false","159588:39",0,6.92491666666667,11,"exp01"
"11","1"," false","63221:32",0,6.92491666666667,12,"exp01"
"12","0.84"," false","164352:16",0,6.92491666666667,13,"exp01"
"13","0"," false","control2",0,6.92491666666667,14,"exp01"
"14","0.48"," true","87654:14",0,6.92491666666667,15,"exp01"
"15","1"," false","control1",0,6.92491666666667,16,"exp01"
"16","0.87"," false","control3",0,6.92491666666667,17,"exp01"
"17","1"," false","13469:7",0,6.92491666666667,18,"exp01"
"18","0.01"," true","164858:59",0,6.92491666666667,19,"exp01"
"19","0.87"," false","177105:58",0,6.92491666666667,20,"exp01"
"20","1"," false","159124:81",0,6.92491666666667,21,"exp01"
"21","1"," false","161373:22",0,6.92491666666667,22,"exp01"
"22","0.98"," false","55892:50",0,6.92491666666667,23,"exp01"
"23","1"," false","18087:40",0,6.92491666666667,24,"exp01"
"24","0.54"," false","129171:26",0,6.92491666666667,25,"exp01"
"25","1"," false","55920:12",0,6.92491666666667,26,"exp01"
"26","0.95"," false","66765:5",0,6.92491666666667,27,"exp01"
"27","1"," false","30391:38",0,6.92491666666667,28,"exp01"
"28","0"," false","control4",0,6.92491666666667,29,"exp01"
"29","0.18"," false","135453:35",0,6.92491666666667,30,"exp01"
"30","0.26"," false","2722:7",0,6.92491666666667,31,"exp01"
"31","0.72"," true","example1",1,5.05128333333333,2,"exp01"
"32","0.63"," true","example2",1,5.05128333333333,3,"exp01"
"33","0.63"," true","example2",1,5.05128333333333,3,"exp01"
"34","0.45"," true","example2",1,5.05128333333333,3,"exp01"
"35","0"," true","examplecheckbox3",1,5.05128333333333,4,"exp01"
"36","0.67"," false","example3",1,5.05128333333333,4,"exp01"
"37","0.51"," not_sure","example4",1,5.05128333333333,5,"exp01"
"38","0.39"," true","example5",1,5.05128333333333,6,"exp01"
"39","0.25"," false","129171:26",1,5.05128333333333,8,"exp01"
"40","0.71"," false","13469:7",1,5.05128333333333,9,"exp01"
"41","0.71"," false","55920:12",1,5.05128333333333,10,"exp01"
"42","0.61"," false","159588:39",1,5.05128333333333,11,"exp01"
"43","0.23"," false","164352:16",1,5.05128333333333,12,"exp01"
"44","0.67"," false","159124:81",1,5.05128333333333,13,"exp01"
"45","0.5"," false","63221:32",1,5.05128333333333,14,"exp01"
"46","0.62"," false","135453:35",1,5.05128333333333,15,"exp01"
"47","0.49"," false","control3",1,5.05128333333333,16,"exp01"
"48","0.37"," false","control4",1,5.05128333333333,17,"exp01"
"49","0.65"," false","164858:59",1,5.05128333333333,18,"exp01"
"50","0.56"," false","control2",1,5.05128333333333,19,"exp01"
"51","0.59"," false","177474:15",1,5.05128333333333,20,"exp01"
"52","0.46"," false","148183:40",1,5.05128333333333,21,"exp01"
"53","0.79"," false","30391:38",1,5.05128333333333,22,"exp01"
"54","0.38"," false","55892:50",1,5.05128333333333,23,"exp01"
"55","0.6"," false","66765:5",1,5.05128333333333,24,"exp01"
"56","0.44"," false","164368:12",1,5.05128333333333,25,"exp01"
"57","0.65"," false","87654:14",1,5.05128333333333,26,"exp01"
"58","0.35"," false","177105:58",1,5.05128333333333,27,"exp01"
"59","0.58"," false","2722:7",1,5.05128333333333,28,"exp01"
"60","0.55"," false","18087:40",1,5.05128333333333,29,"exp01"
"61","0.69"," false","control1",1,5.05128333333333,30,"exp01"
"62","0.55"," false","161373:22",1,5.05128333333333,31,"exp01"
"63","1"," true","example1",2,19.96965,2,"exp01"
"64","0"," true","example2",2,19.96965,3,"exp01"
"65","0.99"," false","example3",2,19.96965,4,"exp01"
"66","0.97"," false","example4",2,19.96965,5,"exp01"
"67","0.21"," unclear","example5",2,19.96965,6,"exp01"
"68","0"," false","129171:26",2,19.96965,8,"exp01"
"69","1"," false","63221:32",2,19.96965,9,"exp01"
"70","1"," false","control3",2,19.96965,10,"exp01"
"71","0"," false","control2",2,19.96965,11,"exp01"
"72","0.98"," false","148183:40",2,19.96965,12,"exp01"
"73","1"," false","161373:22",2,19.96965,13,"exp01"
"74","0.99"," false","55892:50",2,19.96965,14,"exp01"
"75","1"," false","177474:15",2,19.96965,15,"exp01"
"76","0.98"," false","55920:12",2,19.96965,16,"exp01"
"77","1"," false","87654:14",2,19.96965,17,"exp01"
"78","0.99"," false","13469:7",2,19.96965,18,"exp01"
"79","1"," false","30391:38",2,19.96965,19,"exp01"
"80","0.8"," false","66765:5",2,19.96965,20,"exp01"
"81","1"," false","control1",2,19.96965,21,"exp01"
"82","0.17"," false","177105:58",2,19.96965,22,"exp01"
"83","1"," false","164352:16",2,19.96965,23,"exp01"
"84","0"," false","control4",2,19.96965,24,"exp01"
"85","0.19"," false","164858:59",2,19.96965,25,"exp01"
"86","1"," false","164368:12",2,19.96965,26,"exp01"
"87","1"," false","159124:81",2,19.96965,27,"exp01"
"88","1"," false","2722:7",2,19.96965,28,"exp01"
"89","0.97"," false","159588:39",2,19.96965,29,"exp01"
"90","0.74"," false","135453:35",2,19.96965,30,"exp01"
"91","1"," false","18087:40",2,19.96965,31,"exp01"
"92","0.88"," true","example1",3,7.4889,2,"exp01"
"93","0.35"," true","example2",3,7.4889,3,"exp01"
"94","0.17"," false","example3",3,7.4889,4,"exp01"
"95","0.68"," false","example3",3,7.4889,4,"exp01"
"96","0.93"," true","example4",3,7.4889,5,"exp01"
"97","0.8"," true","example5",3,7.4889,6,"exp01"
"98","0.27"," true","example5",3,7.4889,6,"exp01"
"99","0.81"," true","135453:35",3,7.4889,8,"exp01"
"100","0.64"," false","177474:15",3,7.4889,9,"exp01"
"101","0.55"," false","63221:32",3,7.4889,10,"exp01"
"102","0.76"," false","129171:26",3,7.4889,11,"exp01"
"103","0.3"," false","148183:40",3,7.4889,12,"exp01"
"104","0.64"," false","159124:81",3,7.4889,13,"exp01"
"105","0.59"," false","66765:5",3,7.4889,14,"exp01"
"106","0.46"," false","55892:50",3,7.4889,15,"exp01"
"107","0.73"," false","159588:39",3,7.4889,16,"exp01"
"108","0.35"," false","18087:40",3,7.4889,17,"exp01"
"109","0.67"," false","control4",3,7.4889,18,"exp01"
"110","0.53"," false","2722:7",3,7.4889,19,"exp01"
"111","0.38"," false","164858:59",3,7.4889,20,"exp01"
"112","0.77"," false","87654:14",3,7.4889,21,"exp01"
"113","0.48"," false","30391:38",3,7.4889,22,"exp01"
"114","0.41"," false","164368:12",3,7.4889,23,"exp01"
"115","0.69"," false","control2",3,7.4889,24,"exp01"
"116","0.36"," false","164352:16",3,7.4889,25,"exp01"
"117","0.79"," false","13469:7",3,7.4889,26,"exp01"
"118","0.47"," false","177105:58",3,7.4889,27,"exp01"
"119","0.91"," false","control3",3,7.4889,28,"exp01"
"120","0.82"," false","161373:22",3,7.4889,29,"exp01"
"121","0.38"," false","55920:12",3,7.4889,30,"exp01"
"122","0.79"," false","control1",3,7.4889,31,"exp01"
"123","0.99"," true","example1",4,19.7620166666667,2,"exp01"
"124","0"," not_sure","examplecheckbox2",4,19.7620166666667,3,"exp01"
"125","0.01"," true","example2",4,19.7620166666667,3,"exp01"
"126","1"," false","example3",4,19.7620166666667,4,"exp01"
"127","0.59"," false","example4",4,19.7620166666667,5,"exp01"
"128","0.64"," false","example5",4,19.7620166666667,6,"exp01"
"129","0.03"," false","example5",4,19.7620166666667,6,"exp01"
"130","0.97"," false","164858:59",4,19.7620166666667,8,"exp01"
"131","0.01"," false","control2",4,19.7620166666667,9,"exp01"
"132","0.77"," false","135453:35",4,19.7620166666667,10,"exp01"
"133","0.05"," false","30391:38",4,19.7620166666667,11,"exp01"
"134","0.03"," false","2722:7",4,19.7620166666667,12,"exp01"
"135","0.08"," false","177474:15",4,19.7620166666667,13,"exp01"
"136","0.08"," false","129171:26",4,19.7620166666667,14,"exp01"
"137","0.03"," true","164368:12",4,19.7620166666667,15,"exp01"
"138","0.98"," false","161373:22",4,19.7620166666667,16,"exp01"
"139","0.98"," false","control1",4,19.7620166666667,17,"exp01"
"140","0.55"," false","159124:81",4,19.7620166666667,18,"exp01"
"141","1"," false","18087:40",4,19.7620166666667,19,"exp01"
"142","0.91"," false","87654:14",4,19.7620166666667,20,"exp01"
"143","0.87"," false","55920:12",4,19.7620166666667,21,"exp01"
"144","0.96"," false","148183:40",4,19.7620166666667,22,"exp01"
"145","1"," false","13469:7",4,19.7620166666667,23,"exp01"
"146","0.98"," false","66765:5",4,19.7620166666667,24,"exp01"
"147","0.98"," false","159588:39",4,19.7620166666667,25,"exp01"
"148","0.95"," false","55892:50",4,19.7620166666667,26,"exp01"
"149","1"," false","63221:32",4,19.7620166666667,27,"exp01"
"150","0.98"," false","control3",4,19.7620166666667,28,"exp01"
"151","1"," false","164352:16",4,19.7620166666667,29,"exp01"
"152","0.04"," false","177105:58",4,19.7620166666667,30,"exp01"
"153","0"," false","control4",4,19.7620166666667,31,"exp01"
"154","0"," not_sure","examplecheckbox1",5,31.1251,2,"exp01"
"155","0.83"," true","example1",5,31.1251,2,"exp01"
"156","0"," not_sure","examplecheckbox2",5,31.1251,3,"exp01"
"157","0.01"," true","example2",5,31.1251,3,"exp01"
"158","0.99"," false","example3",5,31.1251,4,"exp01"
"159","0.98"," not_sure","example4",5,31.1251,5,"exp01"
"160","0.7"," unclear","example5",5,31.1251,6,"exp01"
"161","0.13"," unclear","example5",5,31.1251,6,"exp01"
"162","0.82"," true","159588:39",5,31.1251,8,"exp01"
"163","0.66"," false","135453:35",5,31.1251,9,"exp01"
"164","0.73"," false","63221:32",5,31.1251,10,"exp01"
"165","0"," false","161373:22",5,31.1251,11,"exp01"
"166","0"," false","control2",5,31.1251,12,"exp01"
"167","0.11"," false","control1",5,31.1251,13,"exp01"
"168","0.95"," true","87654:14",5,31.1251,14,"exp01"
"169","0.89"," true","177105:58",5,31.1251,15,"exp01"
"170","0.25"," false","13469:7",5,31.1251,16,"exp01"
"171","0.85"," true","55892:50",5,31.1251,17,"exp01"
"172","0.99"," false","148183:40",5,31.1251,18,"exp01"
"173","0.74"," false","159124:81",5,31.1251,19,"exp01"
"174","0.27"," false","164352:16",5,31.1251,20,"exp01"
"175","0.73"," false","control3",5,31.1251,21,"exp01"
"176","0"," true","129171:26",5,31.1251,22,"exp01"
"177","0.06"," false","66765:5",5,31.1251,23,"exp01"
"178","0"," false","control4",5,31.1251,24,"exp01"
"179","0.78"," false","55920:12",5,31.1251,25,"exp01"
"180","0"," true","164858:59",5,31.1251,26,"exp01"
"181","0.68"," false","2722:7",5,31.1251,27,"exp01"
"182","0.93"," false","18087:40",5,31.1251,28,"exp01"
"183","0"," false","164368:12",5,31.1251,29,"exp01"
"184","0.88"," false","30391:38",5,31.1251,30,"exp01"
"185","0.29"," true","177474:15",5,31.1251,31,"exp01"
"186","1"," true","example1",6,32.1821333333333,2,"exp01"
"187","0"," true","example2",6,32.1821333333333,3,"exp01"
"188","1"," false","example3",6,32.1821333333333,4,"exp01"
