tgrep.id,MeanPredicted,MeanEmpirical
100501:68,0.5907982905292487,0.5955555555555555
100564:48,0.45170530377805096,0.5733333333333334
100890:40,0.4883103281667002,0.5244444444444445
101686:71,0.4811358655050384,0.3511111111111111
10197:18,0.47399193247172394,0.9233333333333333
101976:15,0.43750902659646473,0.5322222222222223
102122:39,0.47399193247172394,0.43333333333333335
10220:22,0.4455993781085515,0.7933333333333333
102220:49,0.49090534657623747,0.39111111111111113
102453:33,0.49090534657623747,0.7444444444444445
102464:49,0.49050846140772003,0.4822222222222222
102655:14,0.46275702923984496,0.7044444444444444
102716:9,0.4582081146160678,0.31222222222222223
102873:33,0.47933461743253597,0.4122222222222222
103194:59,0.43989033760756946,0.37333333333333335
103268:112,0.4538729073907232,0.8966666666666667
103454:53,0.5462860923985976,0.4888888888888889
1036:63,0.4249613493456432,0.4488888888888889
103930:153,0.45228536671665337,0.31555555555555553
103990:134,0.47933461743253597,0.19666666666666668
104118:18,0.4431264782124042,0.4731578947368421
104214:48,0.4553383295514031,0.13
104287:70,0.4314272032651343,0.4094736842105263
104317:89,0.5047963274743488,0.37333333333333335
104342:42,0.49090534657623747,0.45666666666666667
104373:17,0.4314272032651343,0.40421052631578946
104451:40,0.4431264782124042,0.3957894736842105
104521:21,0.47399193247172394,0.4855555555555555
104819:118,0.519969552763055,0.5422222222222223
104835:34,0.45170530377805096,0.8877777777777778
104851:51,0.43989033760756946,0.39222222222222225
105161:44,0.5164281158747452,0.5788888888888889
105245:83,0.4902947540092875,0.33555555555555555
105339:114,0.4883408577950477,0.4888888888888889
105458:174,0.4431264782124042,0.3610526315789474
105461:58,0.5462860923985976,0.52
105465:58,0.4538729073907232,0.47555555555555556
105467:18,0.4553383295514031,0.24444444444444444
105474:35,0.41549716455791913,0.20666666666666667
105500:23,0.4249613493456432,0.5977777777777777
105689:35,0.5047963274743488,0.6255555555555555
106103:34,0.4039558915848743,0.6177777777777778
106206:40,0.4553383295514031,0.23888888888888887
106229:80,0.4576891109341604,0.44333333333333336
